Kota/Kabupaten,<15,16,17-18,19-24,25+,Jumlah/Total
Kabupaten Bogor,2285,808,18211,162412,1226417,1410133
Kabupaten Sukabumi,0,2664,13857,89105,599421,705047
Kabupaten Cianjur,883,0,9702,61453,560637,632675
Kabupaten Bandung,640,840,9680,120172,829894,961226
Kabupaten Garut,0,934,14873,88608,605345,709760
Kabupaten Tasikmalaya,0,546,8587,53452,480422,543007
Kabupaten Ciamis,0,0,1362,46150,463628,511140
Kabupaten Kuningan,422,320,1255,24982,295181,322160
Kabupaten Cirebon,0,860,0,52865,518090,571815
Kabupaten Majalengka,0,0,840,40683,334173,375696
Kabupaten Sumedang,0,2213,6011,38725,319730,366679
Kabupaten Indramayu,0,0,837,35008,462971,498816
Kabupaten Subang,0,0,4416,50108,430006,484530
Kabupaten Purwakarta,216,475,3922,32982,220674,258269
Kabupaten Karawang,0,846,3301,57942,591616,653705
Kabupaten Bekasi,0,0,8423,91521,735946,835890
Kabupaten Bandung Barat,270,934,3620,38721,407530,451075
Kota Bogor,0,0,472,25407,244902,270781
Kota Sukabumi,89,0,249,8431,77472,86241
Kota Bandung,450,0,2636,43793,639953,686832
Kota Cirebon,0,0,0,4547,80796,85343
Kota Bekasi,747,627,977,40439,643168,685958
Kota Depok,0,0,3188,40345,498600,542133
Kota Cimahi,0,0,759,10515,147120,158394
Kota Tasikmalaya,0,0,316,15476,171439,187231
Kota Banjar,0,0,92,6024,50275,56391
